ad_category,ad_revenue,currency,edition_id,quarter
"A001""""","4624468.0""""","INR""""","ED1006""""","Q3-2023"""""
"A001""""","1982122.0""""","IN RUPEES""""","ED1002""""","Q1-2019"""""
"A001""""","3430992.0""""","INR""""","ED1005""""","Q3-2023"""""
"A004""""","25800.81""""","EUR""""","ED1009""""","4th Qtr 2020"""""
"A001""""","51151.89""""","USD""""","ED1010""""","2019-Q2"""""
"A001""""","3111682.0""""","INR""""","ED1002""""","2019-Q2"""""
"A003""""","41630.06""""","EUR""""","ED1008""""","Q3-2020"""""
"A002""""","3077410.0""""","INR""""","ED1010""""","Q1-2021"""""
"A002""""","1537804.0""""","INR""""","ED1007""""","2019-Q2"""""
"A003""""","3950094.0""""","INR""""","ED1009""""","2020-Q2"""""
"A001""""","1158282.0""""","INR""""","ED1002""""","4th Qtr 2023"""""
"A001""""","3610193.0""""","INR""""","ED1005""""","2024-Q2"""""
"A002""""","4525881.0""""","INR""""","ED1003""""","Q3-2024"""""
"A001""""","1557675.0""""","INR""""","ED1003""""","4th Qtr 2024"""""
"A001""""","42184.81""""","USD""""","ED1002""""","Q1-2020"""""
"A003""""","36630.11""""","EUR""""","ED1005""""","2022-Q2"""""
"A004""""","2501403.0""""","IN RUPEES""""","ED1008""""","2021-Q2"""""
"A003""""","1890078.0""""","INR""""","ED1001""""","4th Qtr 2019"""""
"A003""""","1433751.0""""","INR""""","ED1002""""","Q3-2019"""""
"A002""""","30096.2""""","EUR""""","ED1006""""","4th Qtr 2021"""""
"A001""""","4335023.0""""","INR""""","ED1004""""","4th Qtr 2021"""""
"A004""""","2639961.0""""","INR""""","ED1002""""","Q1-2021"""""
"A001""""","1918764.0""""","INR""""","ED1010""""","Q3-2019"""""
"A001""""","21393.41""""","EUR""""","ED1003""""","4th Qtr 2019"""""
"A003""""","1837077.0""""","INR""""","ED1008""""","4th Qtr 2020"""""
"A004""""","2947293.0""""","INR""""","ED1009""""","Q3-2020"""""
"A001""""","49269.6""""","USD""""","ED1010""""","Q3-2020"""""
"A003""""","3928163.0""""","INR""""","ED1006""""","Q1-2023"""""
"A002""""","20040.84""""","USD""""","ED1002""""","4th Qtr 2019"""""
"A001""""","1282723.0""""","INR""""","ED1006""""","4th Qtr 2020"""""
"A001""""","3213538.0""""","IN RUPEES""""","ED1003""""","2019-Q2"""""
"A001""""","2523860.0""""","INR""""","ED1008""""","Q3-2021"""""
"A001""""","46429.08""""","EUR""""","ED1009""""","2019-Q2"""""
"A001""""","4085719.0""""","INR""""","ED1005""""","Q3-2023"""""
"A003""""","4763723.0""""","INR""""","ED1010""""","Q3-2024"""""
"A002""""","3079147.0""""","INR""""","ED1004""""","Q3-2021"""""
"A002""""","3852657.0""""","INR""""","ED1008""""","2021-Q2"""""
"A001""""","49897.98""""","USD""""","ED1005""""","Q3-2020"""""
"A002""""","3981935.0""""","IN RUPEES""""","ED1003""""","Q1-2023"""""
"A001""""","3826439.0""""","INR""""","ED1005""""","4th Qtr 2019"""""
"A003""""","4270354.0""""","INR""""","ED1001""""","Q3-2021"""""
"A004""""","1153858.0""""","INR""""","ED1007""""","4th Qtr 2024"""""
"A001""""","3729500.0""""","INR""""","ED1008""""","4th Qtr 2022"""""
"A001""""","2759067.0""""","INR""""","ED1004""""","2020-Q2"""""
"A003""""","1940221.0""""","INR""""","ED1007""""","Q1-2021"""""
"A002""""","14187.22""""","EUR""""","ED1010""""","Q1-2020"""""
"A001""""","22253.79""""","EUR""""","ED1004""""","Q3-2020"""""
"A003""""","3552316.0""""","INR""""","ED1001""""","Q3-2023"""""
"A003""""","3459556.0""""","INR""""","ED1003""""","2024-Q2"""""
"A003""""","1351953.0""""","INR""""","ED1005""""","Q1-2023"""""
"A002""""","1691552.0""""","INR""""","ED1003""""","Q3-2021"""""
"A002""""","1142518.0""""","IN RUPEES""""","ED1005""""","Q1-2024"""""
"A004""""","2528929.0""""","INR""""","ED1002""""","2019-Q2"""""
"A001""""","26280.06""""","USD""""","ED1001""""","Q1-2019"""""
"A003""""","4520446.0""""","INR""""","ED1008""""","Q3-2022"""""
"A004""""","4720623.0""""","INR""""","ED1002""""","Q1-2022"""""
"A003""""","3322438.0""""","IN RUPEES""""","ED1005""""","2019-Q2"""""
"A004""""","2246906.0""""","INR""""","ED1010""""","Q3-2024"""""
"A001""""","23367.57""""","EUR""""","ED1005""""","4th Qtr 2020"""""
"A004""""","16719.09""""","EUR""""","ED1005""""","2024-Q2"""""
"A002""""","59387.54""""","USD""""","ED1003""""","2024-Q2"""""
"A004""""","56656.18""""","USD""""","ED1005""""","4th Qtr 2024"""""
"A003""""","1554365.0""""","INR""""","ED1003""""","Q1-2022"""""
"A003""""","2928356.0""""","INR""""","ED1004""""","Q3-2020"""""
"A002""""","4826050.0""""","INR""""","ED1004""""","4th Qtr 2019"""""
"A004""""","3321909.0""""","INR""""","ED1010""""","4th Qtr 2019"""""
"A004""""","3227168.0""""","INR""""","ED1002""""","4th Qtr 2022"""""
"A001""""","2411207.0""""","IN RUPEES""""","ED1007""""","Q3-2020"""""
"A002""""","35852.82""""","USD""""","ED1009""""","4th Qtr 2022"""""
"A003""""","2557019.0""""","INR""""","ED1002""""","Q3-2020"""""
"A004""""","1722331.0""""","INR""""","ED1008""""","4th Qtr 2019"""""
"A002""""","1962224.0""""","IN RUPEES""""","ED1005""""","2022-Q2"""""
"A003""""","3737166.0""""","INR""""","ED1006""""","2020-Q2"""""
"A002""""","37534.53""""","EUR""""","ED1001""""","Q1-2024"""""
"A004""""","4958821.0""""","INR""""","ED1009""""","2019-Q2"""""
"A004""""","1657516.0""""","INR""""","ED1001""""","Q3-2021"""""
"A004""""","3845449.0""""","INR""""","ED1001""""","4th Qtr 2024"""""
"A001""""","1744690.0""""","INR""""","ED1006""""","Q1-2022"""""
"A001""""","4564855.0""""","INR""""","ED1009""""","4th Qtr 2022"""""
"A004""""","11891.54""""","EUR""""","ED1001""""","Q3-2022"""""
"A001""""","3003364.0""""","INR""""","ED1005""""","Q3-2019"""""
"A001""""","2534011.0""""","IN RUPEES""""","ED1001""""","4th Qtr 2024"""""
"A002""""","2946807.0""""","INR""""","ED1006""""","2021-Q2"""""
"A003""""","13495.47""""","USD""""","ED1010""""","2019-Q2"""""
"A004""""","13526.54""""","EUR""""","ED1009""""","Q1-2020"""""
"A002""""","12470.92""""","EUR""""","ED1007""""","Q3-2021"""""
"A003""""","3846340.0""""","IN RUPEES""""","ED1010""""","Q1-2021"""""
"A001""""","4998136.0""""","INR""""","ED1006""""","Q1-2024"""""
"A004""""","3832278.0""""","IN RUPEES""""","ED1004""""","2019-Q2"""""
"A004""""","44367.25""""","USD""""","ED1008""""","Q1-2023"""""
"A001""""","43816.46""""","USD""""","ED1005""""","4th Qtr 2022"""""
"A004""""","1583347.0""""","INR""""","ED1010""""","Q1-2024"""""
"A002""""","1298949.0""""","IN RUPEES""""","ED1002""""","2024-Q2"""""
"A001""""","4524919.0""""","INR""""","ED1001""""","Q3-2019"""""
"A003""""","2571209.0""""","INR""""","ED1004""""","Q3-2019"""""
"A001""""","3230011.0""""","INR""""","ED1003""""","Q3-2020"""""
"A003""""","1592124.0""""","INR""""","ED1003""""","4th Qtr 2020"""""
"A004""""","44750.74""""","EUR""""","ED1003""""","Q3-2023"""""
"A003""""","4511324.0""""","INR""""","ED1002""""","Q1-2024"""""
"A004""""","4017641.0""""","INR""""","ED1007""""","4th Qtr 2024"""""
"A001""""","36311.26""""","EUR""""","ED1006""""","4th Qtr 2021"""""
"A001""""","2794391.0""""","INR""""","ED1001""""","2022-Q2"""""
"A002""""","2756304.0""""","INR""""","ED1002""""","Q1-2022"""""
"A004""""","4704138.0""""","INR""""","ED1009""""","Q3-2024"""""
"A004""""","4760181.0""""","INR""""","ED1001""""","Q3-2023"""""
"A004""""","4967293.0""""","IN RUPEES""""","ED1003""""","Q1-2020"""""
"A001""""","37898.14""""","USD""""","ED1007""""","Q3-2021"""""
"A001""""","43994.16""""","USD""""","ED1005""""","Q1-2022"""""
"A003""""","40375.03""""","EUR""""","ED1008""""","2021-Q2"""""
"A003""""","3639758.0""""","INR""""","ED1001""""","Q1-2021"""""
"A003""""","3344710.0""""","INR""""","ED1008""""","Q1-2022"""""
"A003""""","3383607.0""""","INR""""","ED1004""""","Q3-2022"""""
"A003""""","17798.29""""","USD""""","ED1008""""","4th Qtr 2022"""""
"A003""""","20528.2""""","EUR""""","ED1005""""","Q1-2020"""""
"A003""""","2926883.0""""","INR""""","ED1006""""","4th Qtr 2024"""""
"A003""""","3019429.0""""","INR""""","ED1002""""","Q1-2022"""""
"A004""""","3136084.0""""","INR""""","ED1002""""","4th Qtr 2019"""""
"A002""""","1013534.0""""","INR""""","ED1001""""","2023-Q2"""""
"A002""""","38031.75""""","USD""""","ED1010""""","Q3-2021"""""
"A004""""","1729353.0""""","INR""""","ED1009""""","Q1-2019"""""
"A004""""","4877131.0""""","IN RUPEES""""","ED1009""""","Q1-2020"""""
"A003""""","50693.47""""","USD""""","ED1004""""","2024-Q2"""""
"A001""""","28096.59""""","EUR""""","ED1004""""","2022-Q2"""""
"A001""""","26211.27""""","EUR""""","ED1009""""","2024-Q2"""""
"A002""""","3851157.0""""","IN RUPEES""""","ED1005""""","Q3-2021"""""
"A001""""","2333715.0""""","IN RUPEES""""","ED1001""""","Q3-2020"""""
"A002""""","2403007.0""""","INR""""","ED1004""""","2021-Q2"""""
"A003""""","27882.13""""","EUR""""","ED1006""""","4th Qtr 2021"""""
"A001""""","21809.33""""","USD""""","ED1009""""","2021-Q2"""""
"A002""""","1706575.0""""","INR""""","ED1007""""","Q3-2024"""""
"A001""""","59196.84""""","USD""""","ED1001""""","Q1-2024"""""
"A001""""","33478.51""""","USD""""","ED1003""""","Q1-2022"""""
"A001""""","1945999.0""""","INR""""","ED1008""""","Q1-2019"""""
"A002""""","2506056.0""""","INR""""","ED1001""""","2021-Q2"""""
"A004""""","3996707.0""""","INR""""","ED1003""""","Q1-2024"""""
"A001""""","2911019.0""""","INR""""","ED1010""""","2023-Q2"""""
"A003""""","2686607.0""""","IN RUPEES""""","ED1004""""","Q1-2023"""""
"A003""""","3801474.0""""","INR""""","ED1005""""","Q3-2024"""""
"A001""""","3985309.0""""","INR""""","ED1007""""","Q1-2022"""""
"A001""""","49752.39""""","USD""""","ED1010""""","Q3-2020"""""
"A001""""","2348389.0""""","IN RUPEES""""","ED1007""""","2020-Q2"""""
"A003""""","4953284.0""""","INR""""","ED1007""""","Q1-2019"""""
"A001""""","3605109.0""""","IN RUPEES""""","ED1009""""","Q3-2022"""""
"A004""""","2320062.0""""","INR""""","ED1004""""","2022-Q2"""""
"A004""""","4816160.0""""","INR""""","ED1005""""","2024-Q2"""""
"A003""""","2332937.0""""","INR""""","ED1007""""","Q3-2019"""""
"A002""""","4699320.0""""","INR""""","ED1003""""","Q3-2021"""""
"A003""""","3249448.0""""","INR""""","ED1004""""","4th Qtr 2020"""""
"A001""""","4255942.0""""","IN RUPEES""""","ED1006""""","Q3-2024"""""
"A001""""","1465133.0""""","IN RUPEES""""","ED1002""""","2024-Q2"""""
"A004""""","4537278.0""""","INR""""","ED1003""""","2023-Q2"""""
"A004""""","47341.75""""","USD""""","ED1010""""","Q1-2021"""""
"A004""""","2155154.0""""","INR""""","ED1003""""","Q3-2020"""""
"A002""""","47952.71""""","EUR""""","ED1005""""","Q3-2024"""""
"A004""""","1464311.0""""","INR""""","ED1009""""","Q3-2023"""""
"A002""""","1488118.0""""","INR""""","ED1007""""","Q1-2022"""""
"A001""""","2337161.0""""","INR""""","ED1009""""","Q1-2019"""""
"A002""""","2247318.0""""","INR""""","ED1007""""","Q1-2022"""""
"A003""""","4888599.0""""","INR""""","ED1005""""","Q3-2021"""""
"A004""""","1460599.0""""","IN RUPEES""""","ED1008""""","Q3-2021"""""
"A003""""","39951.23""""","EUR""""","ED1002""""","Q3-2021"""""
"A004""""","4838223.0""""","INR""""","ED1002""""","Q3-2022"""""
"A001""""","36990.61""""","EUR""""","ED1010""""","2021-Q2"""""
"A003""""","1298402.0""""","INR""""","ED1003""""","Q3-2024"""""
"A001""""","4987124.0""""","INR""""","ED1009""""","4th Qtr 2024"""""
"A001""""","59784.89""""","USD""""","ED1006""""","4th Qtr 2020"""""
"A003""""","41752.86""""","USD""""","ED1002""""","Q3-2020"""""
"A003""""","3740973.0""""","INR""""","ED1001""""","Q3-2019"""""
"A001""""","2961688.0""""","INR""""","ED1002""""","2020-Q2"""""
"A003""""","1665511.0""""","INR""""","ED1008""""","2022-Q2"""""
"A003""""","16152.36""""","USD""""","ED1010""""","2022-Q2"""""
"A003""""","2351298.0""""","INR""""","ED1008""""","4th Qtr 2021"""""
"A004""""","2521142.0""""","INR""""","ED1008""""","4th Qtr 2022"""""
"A002""""","34789.14""""","USD""""","ED1009""""","4th Qtr 2020"""""
"A003""""","3899226.0""""","INR""""","ED1010""""","Q1-2023"""""
"A003""""","45241.17""""","EUR""""","ED1002""""","Q3-2024"""""
"A003""""","2543139.0""""","INR""""","ED1001""""","2021-Q2"""""
"A001""""","3721926.0""""","INR""""","ED1001""""","Q3-2022"""""
"A004""""","1225358.0""""","IN RUPEES""""","ED1001""""","Q3-2022"""""
"A002""""","2499244.0""""","INR""""","ED1002""""","Q1-2019"""""
"A003""""","4134867.0""""","INR""""","ED1003""""","4th Qtr 2020"""""
"A004""""","14771.42""""","USD""""","ED1008""""","2023-Q2"""""
"A003""""","1897920.0""""","INR""""","ED1009""""","2023-Q2"""""
"A001""""","3069870.0""""","INR""""","ED1001""""","Q3-2024"""""
"A001""""","52793.56""""","EUR""""","ED1001""""","4th Qtr 2019"""""
"A004""""","42132.88""""","USD""""","ED1005""""","Q1-2022"""""
"A001""""","3467112.0""""","INR""""","ED1009""""","4th Qtr 2019"""""
"A003""""","4248571.0""""","INR""""","ED1003""""","4th Qtr 2021"""""
"A004""""","4266866.0""""","INR""""","ED1004""""","4th Qtr 2024"""""
"A002""""","2997151.0""""","INR""""","ED1008""""","Q3-2022"""""
"A001""""","2977322.0""""","INR""""","ED1007""""","Q1-2019"""""
"A002""""","15811.29""""","USD""""","ED1010""""","Q1-2022"""""
"A003""""","2702224.0""""","INR""""","ED1007""""","Q3-2020"""""
"A001""""","4013954.0""""","INR""""","ED1003""""","4th Qtr 2021"""""
"A001""""","2231616.0""""","INR""""","ED1008""""","4th Qtr 2019"""""
"A004""""","1241017.0""""","INR""""","ED1010""""","Q1-2019"""""
"A003""""","4972321.0""""","IN RUPEES""""","ED1002""""","4th Qtr 2019"""""
"A002""""","4062573.0""""","INR""""","ED1004""""","Q1-2019"""""
"A002""""","3266025.0""""","INR""""","ED1007""""","2023-Q2"""""
"A002""""","4837738.0""""","INR""""","ED1008""""","2019-Q2"""""
"A002""""","18674.2""""","EUR""""","ED1007""""","4th Qtr 2021"""""
"A004""""","4788760.0""""","INR""""","ED1009""""","4th Qtr 2022"""""
"A004""""","1291000.0""""","INR""""","ED1009""""","4th Qtr 2023"""""
"A004""""","41204.1""""","EUR""""","ED1006""""","Q1-2024"""""
"A004""""","4715699.0""""","INR""""","ED1002""""","Q3-2019"""""
"A003""""","2221235.0""""","IN RUPEES""""","ED1001""""","4th Qtr 2020"""""
"A004""""","4191570.0""""","INR""""","ED1001""""","2020-Q2"""""
"A003""""","57934.25""""","USD""""","ED1006""""","2023-Q2"""""
"A004""""","46908.53""""","USD""""","ED1007""""","Q1-2020"""""
"A003""""","4925856.0""""","INR""""","ED1004""""","4th Qtr 2023"""""
"A003""""","3419540.0""""","INR""""","ED1004""""","Q3-2021"""""
"A003""""","59751.6""""","USD""""","ED1005""""","Q3-2019"""""
"A003""""","4324602.0""""","INR""""","ED1008""""","Q1-2021"""""
"A001""""","2589267.0""""","INR""""","ED1007""""","Q3-2023"""""
"A003""""","49486.83""""","EUR""""","ED1004""""","Q1-2023"""""
"A002""""","15537.52""""","EUR""""","ED1006""""","Q3-2020"""""
"A003""""","2724025.0""""","INR""""","ED1005""""","Q3-2022"""""
"A004""""","11305.0""""","EUR""""","ED1005""""","4th Qtr 2022"""""
"A001""""","1167061.0""""","INR""""","ED1006""""","2024-Q2"""""
"A002""""","3587082.0""""","INR""""","ED1001""""","4th Qtr 2019"""""
"A001""""","4818857.0""""","INR""""","ED1004""""","4th Qtr 2021"""""
"A001""""","1549024.0""""","INR""""","ED1001""""","4th Qtr 2020"""""
"A002""""","1288919.0""""","INR""""","ED1004""""","2019-Q2"""""
"A002""""","2110041.0""""","INR""""","ED1009""""","2023-Q2"""""
"A001""""","3913874.0""""","INR""""","ED1010""""","Q3-2023"""""
"A003""""","22285.93""""","USD""""","ED1006""""","Q1-2019"""""
"A002""""","37279.1""""","USD""""","ED1009""""","Q1-2021"""""
"A003""""","3053015.0""""","INR""""","ED1003""""","4th Qtr 2023"""""
"A004""""","20895.01""""","EUR""""","ED1006""""","4th Qtr 2024"""""
"A004""""","4202938.0""""","INR""""","ED1002""""","4th Qtr 2020"""""
"A003""""","1402920.0""""","INR""""","ED1008""""","Q3-2023"""""
"A002""""","51059.8""""","EUR""""","ED1004""""","Q3-2024"""""
"A003""""","3648057.0""""","INR""""","ED1006""""","4th Qtr 2022"""""
"A001""""","4024129.0""""","INR""""","ED1003""""","2022-Q2"""""
"A001""""","2242474.0""""","INR""""","ED1009""""","2019-Q2"""""
"A001""""","58585.23""""","USD""""","ED1005""""","Q1-2021"""""
"A004""""","1446422.0""""","INR""""","ED1003""""","4th Qtr 2019"""""
"A003""""","39841.8""""","USD""""","ED1002""""","2019-Q2"""""
"A002""""","1634846.0""""","INR""""","ED1006""""","Q1-2019"""""
"A003""""","4887198.0""""","INR""""","ED1004""""","Q1-2024"""""
"A004""""","3134304.0""""","INR""""","ED1001""""","Q3-2024"""""
"A003""""","2592351.0""""","INR""""","ED1006""""","Q1-2023"""""
"A004""""","2253751.0""""","IN RUPEES""""","ED1003""""","Q3-2022"""""
"A003""""","49331.19""""","USD""""","ED1004""""","Q3-2023"""""
"A004""""","3012509.0""""","INR""""","ED1004""""","Q3-2020"""""
"A002""""","1330897.0""""","INR""""","ED1002""""","2020-Q2"""""
"A002""""","1568681.0""""","INR""""","ED1009""""","4th Qtr 2021"""""
"A002""""","1697820.0""""","IN RUPEES""""","ED1002""""","4th Qtr 2022"""""
"A002""""","4180639.0""""","IN RUPEES""""","ED1002""""","2023-Q2"""""
"A002""""","3922189.0""""","IN RUPEES""""","ED1009""""","Q1-2020"""""
"A003""""","2915863.0""""","INR""""","ED1005""""","Q1-2019"""""
"A002""""","1901392.0""""","INR""""","ED1004""""","4th Qtr 2020"""""
"A004""""","1157667.0""""","INR""""","ED1001""""","Q1-2019"""""
"A003""""","2070061.0""""","INR""""","ED1010""""","2024-Q2"""""
"A001""""","2801446.0""""","INR""""","ED1005""""","Q3-2022"""""
"A001""""","2577548.0""""","INR""""","ED1008""""","Q1-2020"""""
"A004""""","4269401.0""""","INR""""","ED1006""""","4th Qtr 2019"""""
"A001""""","4680238.0""""","INR""""","ED1004""""","Q1-2024"""""
"A001""""","3183906.0""""","INR""""","ED1002""""","Q3-2022"""""
"A002""""","1363891.0""""","INR""""","ED1004""""","Q1-2020"""""
"A002""""","1539522.0""""","INR""""","ED1005""""","4th Qtr 2022"""""
"A003""""","23255.31""""","EUR""""","ED1005""""","4th Qtr 2023"""""
"A002""""","4114010.0""""","INR""""","ED1004""""","4th Qtr 2023"""""
"A003""""","1967075.0""""","INR""""","ED1010""""","2022-Q2"""""
"A004""""","26820.32""""","EUR""""","ED1003""""","Q1-2019"""""
"A004""""","38727.36""""","USD""""","ED1006""""","2023-Q2"""""
"A002""""","3740502.0""""","INR""""","ED1006""""","Q3-2022"""""
"A001""""","1568648.0""""","INR""""","ED1010""""","Q1-2019"""""
"A004""""","20679.37""""","EUR""""","ED1008""""","Q3-2020"""""
"A001""""","3872634.0""""","IN RUPEES""""","ED1004""""","2023-Q2"""""
"A001""""","51413.87""""","EUR""""","ED1007""""","2024-Q2"""""
"A001""""","51301.63""""","EUR""""","ED1005""""","Q3-2020"""""
"A004""""","2346714.0""""","IN RUPEES""""","ED1005""""","4th Qtr 2020"""""
"A004""""","1700429.0""""","INR""""","ED1001""""","4th Qtr 2022"""""
"A001""""","1730145.0""""","INR""""","ED1004""""","4th Qtr 2022"""""
"A001""""","34339.28""""","EUR""""","ED1003""""","2023-Q2"""""
"A003""""","1788698.0""""","INR""""","ED1010""""","4th Qtr 2024"""""
"A003""""","3652377.0""""","INR""""","ED1009""""","Q1-2021"""""
"A002""""","2362968.0""""","INR""""","ED1002""""","4th Qtr 2021"""""
"A003""""","38350.06""""","EUR""""","ED1007""""","Q1-2024"""""
"A004""""","1943532.0""""","INR""""","ED1008""""","4th Qtr 2021"""""
"A003""""","3299534.0""""","INR""""","ED1005""""","Q1-2024"""""
"A004""""","55147.91""""","EUR""""","ED1002""""","2021-Q2"""""
"A001""""","23685.67""""","EUR""""","ED1006""""","2022-Q2"""""
"A002""""","2545604.0""""","INR""""","ED1009""""","Q3-2024"""""
"A001""""","23110.02""""","USD""""","ED1008""""","2020-Q2"""""
"A002""""","4673238.0""""","INR""""","ED1006""""","Q1-2019"""""
"A003""""","2257263.0""""","INR""""","ED1003""""","4th Qtr 2021"""""
"A001""""","37692.81""""","EUR""""","ED1005""""","2020-Q2"""""
"A004""""","3795400.0""""","INR""""","ED1009""""","2022-Q2"""""
"A003""""","30933.67""""","EUR""""","ED1010""""","Q3-2022"""""
"A001""""","4636340.0""""","INR""""","ED1003""""","2019-Q2"""""
"A003""""","29249.16""""","USD""""","ED1002""""","2023-Q2"""""
"A004""""","1139960.0""""","IN RUPEES""""","ED1008""""","2024-Q2"""""
"A001""""","4601761.0""""","INR""""","ED1009""""","Q1-2023"""""
"A002""""","3429276.0""""","INR""""","ED1003""""","2022-Q2"""""
"A003""""","1813545.0""""","INR""""","ED1010""""","Q3-2022"""""
"A003""""","4734800.0""""","INR""""","ED1006""""","2024-Q2"""""
"A002""""","3038452.0""""","INR""""","ED1006""""","4th Qtr 2019"""""
"A002""""","2432030.0""""","IN RUPEES""""","ED1010""""","Q1-2024"""""
"A004""""","3167891.0""""","INR""""","ED1008""""","Q1-2020"""""
"A004""""","2067307.0""""","INR""""","ED1005""""","4th Qtr 2021"""""
"A002""""","3008673.0""""","INR""""","ED1010""""","Q3-2023"""""
"A003""""","30410.39""""","USD""""","ED1002""""","4th Qtr 2024"""""
"A004""""","1736314.0""""","INR""""","ED1002""""","4th Qtr 2024"""""
"A001""""","20777.43""""","EUR""""","ED1006""""","2024-Q2"""""
"A001""""","35180.25""""","USD""""","ED1005""""","Q3-2021"""""
"A003""""","3607897.0""""","IN RUPEES""""","ED1001""""","Q3-2020"""""
"A003""""","2319824.0""""","INR""""","ED1003""""","2021-Q2"""""
"A002""""","3683837.0""""","INR""""","ED1009""""","Q3-2019"""""
"A003""""","4958980.0""""","INR""""","ED1005""""","Q1-2021"""""
"A003""""","4013324.0""""","INR""""","ED1010""""","4th Qtr 2020"""""
"A001""""","2196738.0""""","INR""""","ED1001""""","Q1-2020"""""
"A001""""","21143.66""""","EUR""""","ED1005""""","2020-Q2"""""
"A004""""","3124393.0""""","INR""""","ED1005""""","Q3-2024"""""
"A002""""","15187.66""""","EUR""""","ED1001""""","Q1-2021"""""
"A003""""","3602288.0""""","IN RUPEES""""","ED1008""""","Q3-2021"""""
"A002""""","35624.82""""","EUR""""","ED1003""""","Q1-2021"""""
"A001""""","2467151.0""""","INR""""","ED1001""""","Q1-2022"""""
"A001""""","1440157.0""""","INR""""","ED1008""""","Q3-2024"""""
"A003""""","23117.24""""","USD""""","ED1004""""","2021-Q2"""""
"A003""""","39529.81""""","USD""""","ED1005""""","4th Qtr 2019"""""
"A001""""","2910074.0""""","INR""""","ED1007""""","4th Qtr 2021"""""
"A004""""","3464732.0""""","INR""""","ED1004""""","Q3-2023"""""
"A001""""","41749.7""""","EUR""""","ED1003""""","4th Qtr 2019"""""
"A002""""","49986.7""""","USD""""","ED1002""""","Q3-2023"""""
"A003""""","2361346.0""""","INR""""","ED1010""""","Q3-2021"""""
"A002""""","4410443.0""""","INR""""","ED1005""""","2023-Q2"""""
"A001""""","4810814.0""""","INR""""","ED1004""""","4th Qtr 2024"""""
"A002""""","4984162.0""""","INR""""","ED1002""""","2022-Q2"""""
"A001""""","2236757.0""""","INR""""","ED1006""""","Q1-2022"""""
"A003""""","4221131.0""""","INR""""","ED1003""""","2021-Q2"""""
