edition_id,ad_category,quarter,ad_revenue,currency
"ED1003""""","A001""""","Q3-2024""""","4048442.0""""","INR"""""
"ED1002""""","A002""""","Q1-2023""""","1924178.0""""","INR"""""
"ED1002""""","A004""""","Q1-2024""""","1020381.0""""","INR"""""
"ED1006""""","A003""""","4th Qtr 2023""""","4644944.0""""","INR"""""
"ED1006""""","A004""""","2019-Q2""""","4384750.0""""","IN RUPEES"""""
"ED1005""""","A002""""","Q1-2023""""","2445554.0""""","IN RUPEES"""""
"ED1006""""","A004""""","2020-Q2""""","4843897.0""""","INR"""""
"ED1008""""","A004""""","Q3-2024""""","3051940.0""""","INR"""""
"ED1009""""","A001""""","Q1-2024""""","2561869.0""""","INR"""""
"ED1010""""","A001""""","Q3-2024""""","2354447.0""""","INR"""""
"ED1008""""","A001""""","2024-Q2""""","1388920.0""""","INR"""""
"ED1009""""","A002""""","Q3-2019""""","16343.53""""","USD"""""
"ED1007""""","A003""""","Q1-2024""""","3348030.0""""","INR"""""
"ED1005""""","A002""""","Q1-2020""""","4107380.0""""","INR"""""
"ED1002""""","A003""""","2024-Q2""""","1245991.0""""","INR"""""
"ED1001""""","A002""""","Q1-2023""""","1295165.0""""","INR"""""
"ED1010""""","A004""""","2024-Q2""""","3119807.0""""","INR"""""
"ED1006""""","A001""""","Q3-2023""""","4624468.0""""","INR"""""
"ED1002""""","A001""""","Q1-2019""""","1982122.0""""","IN RUPEES"""""
"ED1005""""","A001""""","Q3-2023""""","3430992.0""""","INR"""""
"ED1009""""","A004""""","4th Qtr 2020""""","25800.81""""","EUR"""""
"ED1010""""","A001""""","2019-Q2""""","51151.89""""","USD"""""
"ED1002""""","A001""""","2019-Q2""""","3111682.0""""","INR"""""
"ED1008""""","A003""""","Q3-2020""""","41630.06""""","EUR"""""
"ED1010""""","A002""""","Q1-2021""""","3077410.0""""","INR"""""
"ED1007""""","A002""""","2019-Q2""""","1537804.0""""","INR"""""
"ED1009""""","A003""""","2020-Q2""""","3950094.0""""","INR"""""
"ED1002""""","A001""""","4th Qtr 2023""""","1158282.0""""","INR"""""
"ED1005""""","A001""""","2024-Q2""""","3610193.0""""","INR"""""
"ED1003""""","A002""""","Q3-2024""""","4525881.0""""","INR"""""
"ED1003""""","A001""""","4th Qtr 2024""""","1557675.0""""","INR"""""
"ED1002""""","A001""""","Q1-2020""""","42184.81""""","USD"""""
"ED1005""""","A003""""","2022-Q2""""","36630.11""""","EUR"""""
"ED1008""""","A004""""","2021-Q2""""","2501403.0""""","IN RUPEES"""""
"ED1001""""","A003""""","4th Qtr 2019""""","1890078.0""""","INR"""""
"ED1002""""","A003""""","Q3-2019""""","1433751.0""""","INR"""""
"ED1006""""","A002""""","4th Qtr 2021""""","30096.2""""","EUR"""""
"ED1004""""","A001""""","4th Qtr 2021""""","4335023.0""""","INR"""""
"ED1002""""","A004""""","Q1-2021""""","2639961.0""""","INR"""""
"ED1010""""","A001""""","Q3-2019""""","1918764.0""""","INR"""""
"ED1003""""","A001""""","4th Qtr 2019""""","21393.41""""","EUR"""""
"ED1008""""","A003""""","4th Qtr 2020""""","1837077.0""""","INR"""""
"ED1009""""","A004""""","Q3-2020""""","2947293.0""""","INR"""""
"ED1010""""","A001""""","Q3-2020""""","49269.6""""","USD"""""
"ED1006""""","A003""""","Q1-2023""""","3928163.0""""","INR"""""
"ED1002""""","A002""""","4th Qtr 2019""""","20040.84""""","USD"""""
"ED1006""""","A001""""","4th Qtr 2020""""","1282723.0""""","INR"""""
"ED1003""""","A001""""","2019-Q2""""","3213538.0""""","IN RUPEES"""""
"ED1008""""","A001""""","Q3-2021""""","2523860.0""""","INR"""""
"ED1009""""","A001""""","2019-Q2""""","46429.08""""","EUR"""""
"ED1005""""","A001""""","Q3-2023""""","4085719.0""""","INR"""""
"ED1010""""","A003""""","Q3-2024""""","4763723.0""""","INR"""""
"ED1004""""","A002""""","Q3-2021""""","3079147.0""""","INR"""""
"ED1008""""","A002""""","2021-Q2""""","3852657.0""""","INR"""""
"ED1005""""","A001""""","Q3-2020""""","49897.98""""","USD"""""
"ED1003""""","A002""""","Q1-2023""""","3981935.0""""","IN RUPEES"""""
"ED1005""""","A001""""","4th Qtr 2019""""","3826439.0""""","INR"""""
"ED1001""""","A003""""","Q3-2021""""","4270354.0""""","INR"""""
"ED1007""""","A004""""","4th Qtr 2024""""","1153858.0""""","INR"""""
"ED1008""""","A001""""","4th Qtr 2022""""","3729500.0""""","INR"""""
"ED1004""""","A001""""","2020-Q2""""","2759067.0""""","INR"""""
"ED1007""""","A003""""","Q1-2021""""","1940221.0""""","INR"""""
"ED1010""""","A002""""","Q1-2020""""","14187.22""""","EUR"""""
"ED1004""""","A001""""","Q3-2020""""","22253.79""""","EUR"""""
"ED1001""""","A003""""","Q3-2023""""","3552316.0""""","INR"""""
"ED1003""""","A003""""","2024-Q2""""","3459556.0""""","INR"""""
"ED1005""""","A003""""","Q1-2023""""","1351953.0""""","INR"""""
"ED1003""""","A002""""","Q3-2021""""","1691552.0""""","INR"""""
"ED1005""""","A002""""","Q1-2024""""","1142518.0""""","IN RUPEES"""""
"ED1002""""","A004""""","2019-Q2""""","2528929.0""""","INR"""""
"ED1001""""","A001""""","Q1-2019""""","26280.06""""","USD"""""
"ED1008""""","A003""""","Q3-2022""""","4520446.0""""","INR"""""
"ED1002""""","A004""""","Q1-2022""""","4720623.0""""","INR"""""
"ED1005""""","A003""""","2019-Q2""""","3322438.0""""","IN RUPEES"""""
"ED1010""""","A004""""","Q3-2024""""","2246906.0""""","INR"""""
"ED1005""""","A001""""","4th Qtr 2020""""","23367.57""""","EUR"""""
"ED1005""""","A004""""","2024-Q2""""","16719.09""""","EUR"""""
"ED1003""""","A002""""","2024-Q2""""","59387.54""""","USD"""""
"ED1005""""","A004""""","4th Qtr 2024""""","56656.18""""","USD"""""
"ED1003""""","A003""""","Q1-2022""""","1554365.0""""","INR"""""
"ED1004""""","A003""""","Q3-2020""""","2928356.0""""","INR"""""
"ED1004""""","A002""""","4th Qtr 2019""""","4826050.0""""","INR"""""
"ED1010""""","A004""""","4th Qtr 2019""""","3321909.0""""","INR"""""
"ED1002""""","A004""""","4th Qtr 2022""""","3227168.0""""","INR"""""
"ED1007""""","A001""""","Q3-2020""""","2411207.0""""","IN RUPEES"""""
"ED1009""""","A002""""","4th Qtr 2022""""","35852.82""""","USD"""""
"ED1002""""","A003""""","Q3-2020""""","2557019.0""""","INR"""""
"ED1008""""","A004""""","4th Qtr 2019""""","1722331.0""""","INR"""""
"ED1005""""","A002""""","2022-Q2""""","1962224.0""""","IN RUPEES"""""
"ED1006""""","A003""""","2020-Q2""""","3737166.0""""","INR"""""
"ED1001""""","A002""""","Q1-2024""""","37534.53""""","EUR"""""
"ED1009""""","A004""""","2019-Q2""""","4958821.0""""","INR"""""
"ED1001""""","A004""""","Q3-2021""""","1657516.0""""","INR"""""
"ED1001""""","A004""""","4th Qtr 2024""""","3845449.0""""","INR"""""
"ED1006""""","A001""""","Q1-2022""""","1744690.0""""","INR"""""
"ED1009""""","A001""""","4th Qtr 2022""""","4564855.0""""","INR"""""
"ED1001""""","A004""""","Q3-2022""""","11891.54""""","EUR"""""
"ED1005""""","A001""""","Q3-2019""""","3003364.0""""","INR"""""
"ED1001""""","A001""""","4th Qtr 2024""""","2534011.0""""","IN RUPEES"""""
"ED1006""""","A002""""","2021-Q2""""","2946807.0""""","INR"""""
"ED1010""""","A003""""","2019-Q2""""","13495.47""""","USD"""""
"ED1009""""","A004""""","Q1-2020""""","13526.54""""","EUR"""""
"ED1007""""","A002""""","Q3-2021""""","12470.92""""","EUR"""""
"ED1010""""","A003""""","Q1-2021""""","3846340.0""""","IN RUPEES"""""
"ED1006""""","A001""""","Q1-2024""""","4998136.0""""","INR"""""
"ED1004""""","A004""""","2019-Q2""""","3832278.0""""","IN RUPEES"""""
"ED1008""""","A004""""","Q1-2023""""","44367.25""""","USD"""""
"ED1005""""","A001""""","4th Qtr 2022""""","43816.46""""","USD"""""
"ED1010""""","A004""""","Q1-2024""""","1583347.0""""","INR"""""
"ED1002""""","A002""""","2024-Q2""""","1298949.0""""","IN RUPEES"""""
"ED1001""""","A001""""","Q3-2019""""","4524919.0""""","INR"""""
"ED1004""""","A003""""","Q3-2019""""","2571209.0""""","INR"""""
"ED1003""""","A001""""","Q3-2020""""","3230011.0""""","INR"""""
"ED1003""""","A003""""","4th Qtr 2020""""","1592124.0""""","INR"""""
"ED1003""""","A004""""","Q3-2023""""","44750.74""""","EUR"""""
"ED1002""""","A003""""","Q1-2024""""","4511324.0""""","INR"""""
"ED1007""""","A004""""","4th Qtr 2024""""","4017641.0""""","INR"""""
"ED1006""""","A001""""","4th Qtr 2021""""","36311.26""""","EUR"""""
"ED1001""""","A001""""","2022-Q2""""","2794391.0""""","INR"""""
"ED1002""""","A002""""","Q1-2022""""","2756304.0""""","INR"""""
"ED1009""""","A004""""","Q3-2024""""","4704138.0""""","INR"""""
"ED1001""""","A004""""","Q3-2023""""","4760181.0""""","INR"""""
"ED1003""""","A004""""","Q1-2020""""","4967293.0""""","IN RUPEES"""""
"ED1007""""","A001""""","Q3-2021""""","37898.14""""","USD"""""
"ED1005""""","A001""""","Q1-2022""""","43994.16""""","USD"""""
"ED1008""""","A003""""","2021-Q2""""","40375.03""""","EUR"""""
"ED1001""""","A003""""","Q1-2021""""","3639758.0""""","INR"""""
"ED1008""""","A003""""","Q1-2022""""","3344710.0""""","INR"""""
"ED1004""""","A003""""","Q3-2022""""","3383607.0""""","INR"""""
"ED1008""""","A003""""","4th Qtr 2022""""","17798.29""""","USD"""""
"ED1005""""","A003""""","Q1-2020""""","20528.2""""","EUR"""""
"ED1006""""","A003""""","4th Qtr 2024""""","2926883.0""""","INR"""""
"ED1002""""","A003""""","Q1-2022""""","3019429.0""""","INR"""""
"ED1002""""","A004""""","4th Qtr 2019""""","3136084.0""""","INR"""""
"ED1001""""","A002""""","2023-Q2""""","1013534.0""""","INR"""""
"ED1010""""","A002""""","Q3-2021""""","38031.75""""","USD"""""
"ED1009""""","A004""""","Q1-2019""""","1729353.0""""","INR"""""
"ED1009""""","A004""""","Q1-2020""""","4877131.0""""","IN RUPEES"""""
"ED1004""""","A003""""","2024-Q2""""","50693.47""""","USD"""""
"ED1004""""","A001""""","2022-Q2""""","28096.59""""","EUR"""""
"ED1009""""","A001""""","2024-Q2""""","26211.27""""","EUR"""""
"ED1005""""","A002""""","Q3-2021""""","3851157.0""""","IN RUPEES"""""
"ED1001""""","A001""""","Q3-2020""""","2333715.0""""","IN RUPEES"""""
"ED1004""""","A002""""","2021-Q2""""","2403007.0""""","INR"""""
"ED1006""""","A003""""","4th Qtr 2021""""","27882.13""""","EUR"""""
"ED1009""""","A001""""","2021-Q2""""","21809.33""""","USD"""""
"ED1007""""","A002""""","Q3-2024""""","1706575.0""""","INR"""""
"ED1001""""","A001""""","Q1-2024""""","59196.84""""","USD"""""
"ED1003""""","A001""""","Q1-2022""""","33478.51""""","USD"""""
"ED1008""""","A001""""","Q1-2019""""","1945999.0""""","INR"""""
"ED1001""""","A002""""","2021-Q2""""","2506056.0""""","INR"""""
"ED1003""""","A004""""","Q1-2024""""","3996707.0""""","INR"""""
"ED1010""""","A001""""","2023-Q2""""","2911019.0""""","INR"""""
"ED1004""""","A003""""","Q1-2023""""","2686607.0""""","IN RUPEES"""""
"ED1005""""","A003""""","Q3-2024""""","3801474.0""""","INR"""""
"ED1007""""","A001""""","Q1-2022""""","3985309.0""""","INR"""""
"ED1010""""","A001""""","Q3-2020""""","49752.39""""","USD"""""
"ED1007""""","A001""""","2020-Q2""""","2348389.0""""","IN RUPEES"""""
"ED1007""""","A003""""","Q1-2019""""","4953284.0""""","INR"""""
"ED1009""""","A001""""","Q3-2022""""","3605109.0""""","IN RUPEES"""""
"ED1004""""","A004""""","2022-Q2""""","2320062.0""""","INR"""""
"ED1005""""","A004""""","2024-Q2""""","4816160.0""""","INR"""""
"ED1007""""","A003""""","Q3-2019""""","2332937.0""""","INR"""""
"ED1003""""","A002""""","Q3-2021""""","4699320.0""""","INR"""""
"ED1004""""","A003""""","4th Qtr 2020""""","3249448.0""""","INR"""""
"ED1006""""","A001""""","Q3-2024""""","4255942.0""""","IN RUPEES"""""
"ED1002""""","A001""""","2024-Q2""""","1465133.0""""","IN RUPEES"""""
"ED1003""""","A004""""","2023-Q2""""","4537278.0""""","INR"""""
"ED1010""""","A004""""","Q1-2021""""","47341.75""""","USD"""""
"ED1003""""","A004""""","Q3-2020""""","2155154.0""""","INR"""""
"ED1005""""","A002""""","Q3-2024""""","47952.71""""","EUR"""""
"ED1009""""","A004""""","Q3-2023""""","1464311.0""""","INR"""""
"ED1007""""","A002""""","Q1-2022""""","1488118.0""""","INR"""""
"ED1009""""","A001""""","Q1-2019""""","2337161.0""""","INR"""""
"ED1007""""","A002""""","Q1-2022""""","2247318.0""""","INR"""""
"ED1005""""","A003""""","Q3-2021""""","4888599.0""""","INR"""""
"ED1008""""","A004""""","Q3-2021""""","1460599.0""""","IN RUPEES"""""
"ED1002""""","A003""""","Q3-2021""""","39951.23""""","EUR"""""
"ED1002""""","A004""""","Q3-2022""""","4838223.0""""","INR"""""
"ED1010""""","A001""""","2021-Q2""""","36990.61""""","EUR"""""
"ED1003""""","A003""""","Q3-2024""""","1298402.0""""","INR"""""
"ED1009""""","A001""""","4th Qtr 2024""""","4987124.0""""","INR"""""
"ED1006""""","A001""""","4th Qtr 2020""""","59784.89""""","USD"""""
"ED1002""""","A003""""","Q3-2020""""","41752.86""""","USD"""""
"ED1001""""","A003""""","Q3-2019""""","3740973.0""""","INR"""""
"ED1002""""","A001""""","2020-Q2""""","2961688.0""""","INR"""""
"ED1008""""","A003""""","2022-Q2""""","1665511.0""""","INR"""""
"ED1010""""","A003""""","2022-Q2""""","16152.36""""","USD"""""
"ED1008""""","A003""""","4th Qtr 2021""""","2351298.0""""","INR"""""
"ED1008""""","A004""""","4th Qtr 2022""""","2521142.0""""","INR"""""
"ED1009""""","A002""""","4th Qtr 2020""""","34789.14""""","USD"""""
"ED1010""""","A003""""","Q1-2023""""","3899226.0""""","INR"""""
"ED1002""""","A003""""","Q3-2024""""","45241.17""""","EUR"""""
"ED1001""""","A003""""","2021-Q2""""","2543139.0""""","INR"""""
"ED1001""""","A001""""","Q3-2022""""","3721926.0""""","INR"""""
"ED1001""""","A004""""","Q3-2022""""","1225358.0""""","IN RUPEES"""""
"ED1002""""","A002""""","Q1-2019""""","2499244.0""""","INR"""""
"ED1003""""","A003""""","4th Qtr 2020""""","4134867.0""""","INR"""""
"ED1008""""","A004""""","2023-Q2""""","14771.42""""","USD"""""
"ED1009""""","A003""""","2023-Q2""""","1897920.0""""","INR"""""
"ED1001""""","A001""""","Q3-2024""""","3069870.0""""","INR"""""
"ED1001""""","A001""""","4th Qtr 2019""""","52793.56""""","EUR"""""
"ED1005""""","A004""""","Q1-2022""""","42132.88""""","USD"""""
"ED1009""""","A001""""","4th Qtr 2019""""","3467112.0""""","INR"""""
"ED1003""""","A003""""","4th Qtr 2021""""","4248571.0""""","INR"""""
"ED1004""""","A004""""","4th Qtr 2024""""","4266866.0""""","INR"""""
"ED1008""""","A002""""","Q3-2022""""","2997151.0""""","INR"""""
"ED1007""""","A001""""","Q1-2019""""","2977322.0""""","INR"""""
"ED1010""""","A002""""","Q1-2022""""","15811.29""""","USD"""""
"ED1007""""","A003""""","Q3-2020""""","2702224.0""""","INR"""""
"ED1003""""","A001""""","4th Qtr 2021""""","4013954.0""""","INR"""""
"ED1008""""","A001""""","4th Qtr 2019""""","2231616.0""""","INR"""""
"ED1010""""","A004""""","Q1-2019""""","1241017.0""""","INR"""""
"ED1002""""","A003""""","4th Qtr 2019""""","4972321.0""""","IN RUPEES"""""
"ED1004""""","A002""""","Q1-2019""""","4062573.0""""","INR"""""
"ED1007""""","A002""""","2023-Q2""""","3266025.0""""","INR"""""
"ED1008""""","A002""""","2019-Q2""""","4837738.0""""","INR"""""
"ED1007""""","A002""""","4th Qtr 2021""""","18674.2""""","EUR"""""
"ED1009""""","A004""""","4th Qtr 2022""""","4788760.0""""","INR"""""
"ED1009""""","A004""""","4th Qtr 2023""""","1291000.0""""","INR"""""
"ED1006""""","A004""""","Q1-2024""""","41204.1""""","EUR"""""
"ED1002""""","A004""""","Q3-2019""""","4715699.0""""","INR"""""
"ED1001""""","A003""""","4th Qtr 2020""""","2221235.0""""","IN RUPEES"""""
"ED1001""""","A004""""","2020-Q2""""","4191570.0""""","INR"""""
"ED1006""""","A003""""","2023-Q2""""","57934.25""""","USD"""""
"ED1007""""","A004""""","Q1-2020""""","46908.53""""","USD"""""
"ED1004""""","A003""""","4th Qtr 2023""""","4925856.0""""","INR"""""
"ED1004""""","A003""""","Q3-2021""""","3419540.0""""","INR"""""
"ED1005""""","A003""""","Q3-2019""""","59751.6""""","USD"""""
"ED1008""""","A003""""","Q1-2021""""","4324602.0""""","INR"""""
"ED1007""""","A001""""","Q3-2023""""","2589267.0""""","INR"""""
"ED1004""""","A003""""","Q1-2023""""","49486.83""""","EUR"""""
"ED1006""""","A002""""","Q3-2020""""","15537.52""""","EUR"""""
"ED1005""""","A003""""","Q3-2022""""","2724025.0""""","INR"""""
"ED1005""""","A004""""","4th Qtr 2022""""","11305.0""""","EUR"""""
"ED1006""""","A001""""","2024-Q2""""","1167061.0""""","INR"""""
"ED1001""""","A002""""","4th Qtr 2019""""","3587082.0""""","INR"""""
"ED1004""""","A001""""","4th Qtr 2021""""","4818857.0""""","INR"""""
"ED1001""""","A001""""","4th Qtr 2020""""","1549024.0""""","INR"""""
"ED1004""""","A002""""","2019-Q2""""","1288919.0""""","INR"""""
"ED1009""""","A002""""","2023-Q2""""","2110041.0""""","INR"""""
"ED1010""""","A001""""","Q3-2023""""","3913874.0""""","INR"""""
"ED1006""""","A003""""","Q1-2019""""","22285.93""""","USD"""""
"ED1009""""","A002""""","Q1-2021""""","37279.1""""","USD"""""
"ED1003""""","A003""""","4th Qtr 2023""""","3053015.0""""","INR"""""
"ED1006""""","A004""""","4th Qtr 2024""""","20895.01""""","EUR"""""
"ED1002""""","A004""""","4th Qtr 2020""""","4202938.0""""","INR"""""
"ED1008""""","A003""""","Q3-2023""""","1402920.0""""","INR"""""
"ED1004""""","A002""""","Q3-2024""""","51059.8""""","EUR"""""
"ED1006""""","A003""""","4th Qtr 2022""""","3648057.0""""","INR"""""
"ED1003""""","A001""""","2022-Q2""""","4024129.0""""","INR"""""
"ED1009""""","A001""""","2019-Q2""""","2242474.0""""","INR"""""
"ED1005""""","A001""""","Q1-2021""""","58585.23""""","USD"""""
"ED1003""""","A004""""","4th Qtr 2019""""","1446422.0""""","INR"""""
"ED1002""""","A003""""","2019-Q2""""","39841.8""""","USD"""""
"ED1006""""","A002""""","Q1-2019""""","1634846.0""""","INR"""""
"ED1004""""","A003""""","Q1-2024""""","4887198.0""""","INR"""""
"ED1001""""","A004""""","Q3-2024""""","3134304.0""""","INR"""""
"ED1006""""","A003""""","Q1-2023""""","2592351.0""""","INR"""""
"ED1003""""","A004""""","Q3-2022""""","2253751.0""""","IN RUPEES"""""
"ED1004""""","A003""""","Q3-2023""""","49331.19""""","USD"""""
"ED1004""""","A004""""","Q3-2020""""","3012509.0""""","INR"""""
"ED1002""""","A002""""","2020-Q2""""","1330897.0""""","INR"""""
"ED1009""""","A002""""","4th Qtr 2021""""","1568681.0""""","INR"""""
"ED1002""""","A002""""","4th Qtr 2022""""","1697820.0""""","IN RUPEES"""""
"ED1002""""","A002""""","2023-Q2""""","4180639.0""""","IN RUPEES"""""
"ED1009""""","A002""""","Q1-2020""""","3922189.0""""","IN RUPEES"""""
"ED1005""""","A003""""","Q1-2019""""","2915863.0""""","INR"""""
"ED1004""""","A002""""","4th Qtr 2020""""","1901392.0""""","INR"""""
"ED1001""""","A004""""","Q1-2019""""","1157667.0""""","INR"""""
"ED1010""""","A003""""","2024-Q2""""","2070061.0""""","INR"""""
"ED1005""""","A001""""","Q3-2022""""","2801446.0""""","INR"""""
"ED1008""""","A001""""","Q1-2020""""","2577548.0""""","INR"""""
"ED1006""""","A004""""","4th Qtr 2019""""","4269401.0""""","INR"""""
"ED1004""""","A001""""","Q1-2024""""","4680238.0""""","INR"""""
"ED1002""""","A001""""","Q3-2022""""","3183906.0""""","INR"""""
"ED1004""""","A002""""","Q1-2020""""","1363891.0""""","INR"""""
"ED1005""""","A002""""","4th Qtr 2022""""","1539522.0""""","INR"""""
"ED1005""""","A003""""","4th Qtr 2023""""","23255.31""""","EUR"""""
"ED1004""""","A002""""","4th Qtr 2023""""","4114010.0""""","INR"""""
"ED1010""""","A003""""","2022-Q2""""","1967075.0""""","INR"""""
"ED1003""""","A004""""","Q1-2019""""","26820.32""""","EUR"""""
"ED1006""""","A004""""","2023-Q2""""","38727.36""""","USD"""""
"ED1006""""","A002""""","Q3-2022""""","3740502.0""""","INR"""""
"ED1010""""","A001""""","Q1-2019""""","1568648.0""""","INR"""""
"ED1008""""","A004""""","Q3-2020""""","20679.37""""","EUR"""""
"ED1004""""","A001""""","2023-Q2""""","3872634.0""""","IN RUPEES"""""
"ED1007""""","A001""""","2024-Q2""""","51413.87""""","EUR"""""
"ED1005""""","A001""""","Q3-2020""""","51301.63""""","EUR"""""
"ED1005""""","A004""""","4th Qtr 2020""""","2346714.0""""","IN RUPEES"""""
"ED1001""""","A004""""","4th Qtr 2022""""","1700429.0""""","INR"""""
"ED1004""""","A001""""","4th Qtr 2022""""","1730145.0""""","INR"""""
"ED1003""""","A001""""","2023-Q2""""","34339.28""""","EUR"""""
"ED1010""""","A003""""","4th Qtr 2024""""","1788698.0""""","INR"""""
"ED1009""""","A003""""","Q1-2021""""","3652377.0""""","INR"""""
"ED1002""""","A002""""","4th Qtr 2021""""","2362968.0""""","INR"""""
"ED1007""""","A003""""","Q1-2024""""","38350.06""""","EUR"""""
"ED1008""""","A004""""","4th Qtr 2021""""","1943532.0""""","INR"""""
"ED1005""""","A003""""","Q1-2024""""","3299534.0""""","INR"""""
"ED1002""""","A004""""","2021-Q2""""","55147.91""""","EUR"""""
"ED1006""""","A001""""","2022-Q2""""","23685.67""""","EUR"""""
"ED1009""""","A002""""","Q3-2024""""","2545604.0""""","INR"""""
"ED1008""""","A001""""","2020-Q2""""","23110.02""""","USD"""""
"ED1006""""","A002""""","Q1-2019""""","4673238.0""""","INR"""""
"ED1003""""","A003""""","4th Qtr 2021""""","2257263.0""""","INR"""""
"ED1005""""","A001""""","2020-Q2""""","37692.81""""","EUR"""""
"ED1009""""","A004""""","2022-Q2""""","3795400.0""""","INR"""""
"ED1010""""","A003""""","Q3-2022""""","30933.67""""","EUR"""""
"ED1003""""","A001""""","2019-Q2""""","4636340.0""""","INR"""""
"ED1002""""","A003""""","2023-Q2""""","29249.16""""","USD"""""
"ED1008""""","A004""""","2024-Q2""""","1139960.0""""","IN RUPEES"""""
"ED1009""""","A001""""","Q1-2023""""","4601761.0""""","INR"""""
"ED1003""""","A002""""","2022-Q2""""","3429276.0""""","INR"""""
"ED1010""""","A003""""","Q3-2022""""","1813545.0""""","INR"""""
"ED1006""""","A003""""","2024-Q2""""","4734800.0""""","INR"""""
"ED1006""""","A002""""","4th Qtr 2019""""","3038452.0""""","INR"""""
"ED1010""""","A002""""","Q1-2024""""","2432030.0""""","IN RUPEES"""""
"ED1008""""","A004""""","Q1-2020""""","3167891.0""""","INR"""""
"ED1005""""","A004""""","4th Qtr 2021""""","2067307.0""""","INR"""""
"ED1010""""","A002""""","Q3-2023""""","3008673.0""""","INR"""""
"ED1002""""","A003""""","4th Qtr 2024""""","30410.39""""","USD"""""
"ED1002""""","A004""""","4th Qtr 2024""""","1736314.0""""","INR"""""
"ED1006""""","A001""""","2024-Q2""""","20777.43""""","EUR"""""
"ED1005""""","A001""""","Q3-2021""""","35180.25""""","USD"""""
"ED1001""""","A003""""","Q3-2020""""","3607897.0""""","IN RUPEES"""""
"ED1003""""","A003""""","2021-Q2""""","2319824.0""""","INR"""""
"ED1009""""","A002""""","Q3-2019""""","3683837.0""""","INR"""""
"ED1005""""","A003""""","Q1-2021""""","4958980.0""""","INR"""""
"ED1010""""","A003""""","4th Qtr 2020""""","4013324.0""""","INR"""""
"ED1001""""","A001""""","Q1-2020""""","2196738.0""""","INR"""""
"ED1005""""","A001""""","2020-Q2""""","21143.66""""","EUR"""""
"ED1005""""","A004""""","Q3-2024""""","3124393.0""""","INR"""""
"ED1001""""","A002""""","Q1-2021""""","15187.66""""","EUR"""""
"ED1008""""","A003""""","Q3-2021""""","3602288.0""""","IN RUPEES"""""
"ED1003""""","A002""""","Q1-2021""""","35624.82""""","EUR"""""
"ED1001""""","A001""""","Q1-2022""""","2467151.0""""","INR"""""
"ED1008""""","A001""""","Q3-2024""""","1440157.0""""","INR"""""
"ED1004""""","A003""""","2021-Q2""""","23117.24""""","USD"""""
"ED1005""""","A003""""","4th Qtr 2019""""","39529.81""""","USD"""""
"ED1007""""","A001""""","4th Qtr 2021""""","2910074.0""""","INR"""""
"ED1004""""","A004""""","Q3-2023""""","3464732.0""""","INR"""""
"ED1003""""","A001""""","4th Qtr 2019""""","41749.7""""","EUR"""""
"ED1002""""","A002""""","Q3-2023""""","49986.7""""","USD"""""
"ED1010""""","A003""""","Q3-2021""""","2361346.0""""","INR"""""
"ED1005""""","A002""""","2023-Q2""""","4410443.0""""","INR"""""
"ED1004""""","A001""""","4th Qtr 2024""""","4810814.0""""","INR"""""
"ED1002""""","A002""""","2022-Q2""""","4984162.0""""","INR"""""
"ED1006""""","A001""""","Q1-2022""""","2236757.0""""","INR"""""
"ED1003""""","A003""""","2021-Q2""""","4221131.0""""","INR"""""
